id,principle
1,"Think for yourself to decide 1) what you want, 2) what is true, and 3) what you should do to achieve #1 in light of #2, and do that with humility and open-mindedness so that you consider the best thinking available to you."
2,Look to the patterns of those things that affect you in order to understand the cause-effect relationships that drive them and to learn principles for dealing with them effectively.
3,Embrace Reality and Deal with It
4, Dreams + Reality + Determination = A Successful Life
5," Truth—or, more precisely, an accurate understanding of reality—is the essential foundation for any good outcome"
6, Be radically open-minded and radically transparent
7, Radical open-mindedness and radical transparency are invaluable for rapid learning and effective change
8,Don’t let fears of what others think of you stand in your way.
9, Embracing radical truth and radical transparency will bring more meaningful work and more meaningful relationships
10, Look to nature to learn how reality works
11,Don’t get hung up on your views of how things “should” be because you will miss out on learning how they really are.
12," To be “good,” something must operate consistently with the laws of reality and contribute to the evolution of the whole; that is what is most rewarded"
13, Evolution is the single greatest force in the universe; it is the only thing that is permanent and it drives everything
14, Evolve or die
15, Evolving is life’s greatest accomplishment and its greatest reward
16, The individual’s incentives must be aligned with the group’s goals
17, Reality is optimizing for the whole—not for you
18, Adaptation through rapid trial and error is invaluable
19, Realize that you are simultaneously everything and nothing—and decide what you want to be
20, What you will be will depend on the perspective you have
21, Understand nature’s practical lessons
22, Maximize your evolution
23," Remember “no pain, no gain."
24," It is a fundamental law of nature that in order to gain strength one has to push one’s limits, which is painful"
25, Pain + Reflection = Progress
26, Go to the pain rather than avoid it
27, Embrace tough love
28, Weigh second- and third-order consequences
29, Own your outcomes
30, Look at the machine from the higher level
31, Think of yourself as a machine operating within a machine and know that you have the ability to alter your machines to produce better outcomes
32," By comparing your outcomes with your goals, you can determine how to modify your machine"
33, Distinguish between you as the designer of your machine and you as a worker with your machine
34," The biggest mistake most people make is to not see themselves and others objectively, which leads them to bump into their own and others’ weaknesses again and again"
35, Successful people are those who can go above themselves to see things objectively and manage those things to shape change
36," Asking others who are strong in areas where you are weak to help you is a great skill that you should develop no matter what, as it will help you develop guardrails that will prevent you from doing what you shouldn’t be doing"
37," Because it is difficult to see oneself objectively, you need to rely on the input of others and the whole body of evidence"
38," If you are open-minded enough and determined, you can get virtually anything you want"
39, Use the 5-Step Process to Get What You Want Out of Lif
40, Have clear goals
41," Prioritize: While you can have virtually anything you want, you can’t have everything you want"
42, Don’t confuse goals with desires
43, Decide what you really want in life by reconciling your goals and your desires
44, Don’t mistake the trappings of success for success itself
45, Never rule out a goal because you think it’s unattainable
46, Remember that great expectations create great capabilities
47, Almost nothing can stop you from succeeding if you have a) flexibility and b) self-accountability
